node,h_local,gain,time_n,time_b,std_n,std_b,rob_n,rob_b,auc_n,auc_b
1,0.75,0.0,0.16076183319091797,0.13489651679992676,0.39999999999999997,1.9390719429665317,1.0,1.0,0.10000000000000003,0.20000000000000007
3,1.0,0.0,0.13876914978027344,0.11716461181640625,0.0,1.469693845669907,1.0,1.0,0.55,0.6500000000000001
4,1.0,0.0,0.1378481388092041,0.11788296699523926,0.39999999999999997,0.7999999999999999,1.0,1.0,0.6500000000000001,0.6500000000000001
6,1.0,0.0,0.14788079261779785,0.13077521324157715,0.0,2.4166091947189146,1.0,1.0,0.0,0.0
7,0.75,0.0,0.1358504295349121,0.12077212333679199,1.019803902718557,2.1540659228538015,1.0,1.0,0.0,0.10000000000000003
8,1.0,0.0,0.13715720176696777,0.11384177207946777,0.0,0.4898979485566356,1.0,1.0,0.0,0.0
9,1.0,0.0,0.14075708389282227,0.11798620223999023,0.39999999999999997,0.0,1.0,1.0,0.6500000000000001,0.6500000000000001
10,1.0,0.0,0.12978529930114746,0.11869955062866211,0.0,0.7483314773547882,1.0,1.0,0.0,0.0
11,1.0,0.0,0.13695025444030762,0.1182093620300293,0.0,1.1661903789690602,1.0,1.0,0.0,0.0
12,1.0,0.0,0.14400887489318848,0.11483621597290039,0.0,0.48989794855663565,1.0,1.0,0.20000000000000007,0.10000000000000003
13,1.0,0.0,0.14853310585021973,0.1239006519317627,0.0,0.0,1.0,1.0,0.6500000000000001,0.6500000000000001
16,1.0,0.0,0.16009521484375,0.13783884048461914,0.39999999999999997,0.8944271909999159,1.0,1.0,0.6500000000000001,0.6500000000000001
17,1.0,0.0,0.18478655815124512,0.1584639549255371,0.0,0.9797958971132712,1.0,1.0,0.0,0.0
18,1.0,0.0,0.18466639518737793,0.16370654106140137,0.0,0.39999999999999997,1.0,1.0,0.6500000000000001,0.0
19,0.6666666865348816,0.0,0.2678370475769043,0.23501300811767578,0.0,1.019803902718557,1.0,1.0,0.0,0.0
21,1.0,0.0,0.2694578170776367,0.23972773551940918,0.48989794855663565,1.3564659966250538,1.0,1.0,0.0,0.0
22,1.0,0.0,0.28362441062927246,0.23716068267822266,0.0,0.8,1.0,1.0,0.0,0.0
23,1.0,0.0,0.31418442726135254,0.2630023956298828,0.0,1.16619037896906,1.0,1.0,0.0,0.0
24,1.0,0.0,0.3138144016265869,0.2608988285064697,0.39999999999999997,0.39999999999999997,1.0,1.0,0.6500000000000001,0.6500000000000001
25,0.8571428656578064,0.0,0.3386526107788086,0.277935266494751,0.0,1.9390719429665317,1.0,1.0,0.0,0.0
